Order Date,Sneaker Name,Sale Price
10/13/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,936
10/14/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,1036
10/17/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,1149
10/30/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,1112
10/31/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,1129
11/8/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,1199
11/9/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,960
11/12/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,1020
11/22/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,987
11/23/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,1075
11/24/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,1105
11/25/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,940
11/25/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,981
11/26/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,900
11/27/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,935
11/27/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,880
12/5/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,970
12/12/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,951
12/14/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,775
12/17/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,795
12/19/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,1020
12/20/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,950
12/22/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,900
12/27/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,1000
1/6/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,975
1/8/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1069
1/10/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1030
1/11/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1185
1/19/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1000
1/29/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1020
2/1/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1095
2/2/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1200
2/7/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,980
2/8/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1080
2/15/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1400
2/16/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1090
3/8/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,970
3/24/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,920
3/25/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,994
3/27/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,916
4/3/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1200
4/4/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1005
4/4/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,945
4/17/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1190
4/18/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,800
4/21/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1293
4/29/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1050
5/5/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1000
5/7/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1050
5/12/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1020
5/13/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,900
5/21/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,910
5/30/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,963
5/31/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1045
6/2/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,995
6/8/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,999
6/20/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1048
6/22/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,965
7/2/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1224
7/12/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,975
7/23/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1190
7/24/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1150
8/4/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,950
8/15/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,825
8/17/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,999
8/21/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,980
8/26/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1340
8/30/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1200
8/31/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1039
9/5/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1040
9/9/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,870
9/17/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,875
9/20/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,925
9/28/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1050
10/3/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,856
10/9/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1099
10/9/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,989
10/10/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1000
10/13/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1112
10/20/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1090
10/28/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,999
10/31/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,850
10/31/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,951
10/31/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,775
11/1/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,801
11/3/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,818
11/4/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,800
11/5/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,800
11/5/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,817
11/7/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,850
11/13/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,850
11/15/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,869
11/16/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,900
11/23/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,900
11/24/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,783
11/25/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1248
11/26/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,875
11/26/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,800
11/28/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,900
12/2/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,895
12/3/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,750
12/7/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,675
12/10/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,755
12/11/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,950
12/12/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,1046
12/18/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,900
12/27/2018,Adidas Yeezy Boost 350 Low Pirate Black 2016,865
1/2/2019,Adidas Yeezy Boost 350 Low Pirate Black 2016,900
1/2/2019,Adidas Yeezy Boost 350 Low Pirate Black 2016,1200
1/8/2019,Adidas Yeezy Boost 350 Low Pirate Black 2016,995
1/13/2019,Adidas Yeezy Boost 350 Low Pirate Black 2016,1020
1/26/2019,Adidas Yeezy Boost 350 Low Pirate Black 2016,831
2/2/2019,Adidas Yeezy Boost 350 Low Pirate Black 2016,850
2/6/2019,Adidas Yeezy Boost 350 Low Pirate Black 2016,799
2/8/2019,Adidas Yeezy Boost 350 Low Pirate Black 2016,980
2/12/2019,Adidas Yeezy Boost 350 Low Pirate Black 2016,805
9/14/2017,Adidas Yeezy Boost 350 Low Turtledove,2300
9/15/2017,Adidas Yeezy Boost 350 Low Turtledove,1890
9/21/2017,Adidas Yeezy Boost 350 Low Turtledove,1875
9/25/2017,Adidas Yeezy Boost 350 Low Turtledove,1995
10/13/2017,Adidas Yeezy Boost 350 Low Turtledove,1910
10/13/2017,Adidas Yeezy Boost 350 Low Turtledove,1505
10/14/2017,Adidas Yeezy Boost 350 Low Turtledove,1501
11/24/2017,Adidas Yeezy Boost 350 Low Turtledove,1450
11/27/2017,Adidas Yeezy Boost 350 Low Turtledove,1761
11/28/2017,Adidas Yeezy Boost 350 Low Turtledove,1989
11/29/2017,Adidas Yeezy Boost 350 Low Turtledove,1545
12/18/2017,Adidas Yeezy Boost 350 Low Turtledove,1840
